"film_id","personne_id","role","alias"
"1a824fa6-2716-4362-b09a-308fac8ff3fa","9ba16814-0229-4025-927c-795cd4d6dd07",acteur,Marion Cobretti
"1a824fa6-2716-4362-b09a-308fac8ff3fa","46c31ee2-f27f-4049-95d4-e3bf625ec924",acteur,Ingrid
"1a824fa6-2716-4362-b09a-308fac8ff3fa",c872e22c-096a-4b71-886e-491e7733d3df,réalisateur,
"1a824fa6-2716-4362-b09a-308fac8ff3fa","081629e8-d46f-4a52-b54e-75a4eb7d3b11",roman,
"1a824fa6-2716-4362-b09a-308fac8ff3fa","9ba16814-0229-4025-927c-795cd4d6dd07",scénariste,
"412db3da-061b-4b62-9015-00649a08eb45","9ba16814-0229-4025-927c-795cd4d6dd07",acteur,John Rambo
"412db3da-061b-4b62-9015-00649a08eb45",c872e22c-096a-4b71-886e-491e7733d3df,réalisateur,
"4dafc2bb-39bd-4cc7-ad8a-76e74f377aeb","9ba16814-0229-4025-927c-795cd4d6dd07",acteur,Rocky Balboa
"4dafc2bb-39bd-4cc7-ad8a-76e74f377aeb","1879fdcb-078f-4bc3-adba-0fc4e0f16db6",acteur,Adrian Pennino
"4dafc2bb-39bd-4cc7-ad8a-76e74f377aeb","21c2b10a-358e-408b-abd2-5bf391b77927",acteur,Apollo Creed
"4dafc2bb-39bd-4cc7-ad8a-76e74f377aeb",a3591726-da0e-4ecd-927b-41d90a04c3a9,acteur,Paulie Pennino
"4dafc2bb-39bd-4cc7-ad8a-76e74f377aeb","695620ef-03a8-44d2-9fa2-966b9eeede41",réalisateur,
ec6a42ec-6c44-495f-beca-ecc4c3dc093e,"9ba16814-0229-4025-927c-795cd4d6dd07",acteur,Rocky Balboa
ec6a42ec-6c44-495f-beca-ecc4c3dc093e,"1879fdcb-078f-4bc3-adba-0fc4e0f16db6",acteur,Adrian Pennino
ec6a42ec-6c44-495f-beca-ecc4c3dc093e,"21c2b10a-358e-408b-abd2-5bf391b77927",acteur,Apollo Creed
ec6a42ec-6c44-495f-beca-ecc4c3dc093e,a3591726-da0e-4ecd-927b-41d90a04c3a9,acteur,Paulie Pennino
ec6a42ec-6c44-495f-beca-ecc4c3dc093e,"9ba16814-0229-4025-927c-795cd4d6dd07",réalisateur,
ec6a42ec-6c44-495f-beca-ecc4c3dc093e,"9ba16814-0229-4025-927c-795cd4d6dd07",scénariste,
"890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a",a3591726-da0e-4ecd-927b-41d90a04c3a9,acteur,Paulie Pennino
"890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a","1879fdcb-078f-4bc3-adba-0fc4e0f16db6",acteur,Adrian Pennino
"890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a","21c2b10a-358e-408b-abd2-5bf391b77927",acteur,Apollo Creed
"890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a","9ba16814-0229-4025-927c-795cd4d6dd07",réalisateur,
"890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a","9ba16814-0229-4025-927c-795cd4d6dd07",scénariste,
"890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a","28794c25-dafb-4f23-96a2-a1987a682385",acteur,Clubber Lang
